Id,repo,issue_id,type,actor,event,created_at,link_url,link_type,link_repo,link_issue_id
6815,request/request,214,1,,cross-referenced,2013-11-28 20:30:33,https://api.github.com/repos/request/request/issues/718,0,request/request,718
6812,request/request,215,0,,cross-referenced,2013-05-17 20:54:55,https://api.github.com/repos/request/request/issues/556,1,request/request,556
6813,request/request,215,0,,cross-referenced,2015-06-19 02:55:08,https://api.github.com/repos/request/request/issues/1649,0,request/request,1649
6814,request/request,215,0,,cross-referenced,2016-03-07 20:02:39,https://api.github.com/repos/request/request/issues/2118,0,request/request,2118
6811,request/request,216,0,,cross-referenced,2012-09-11 00:56:36,https://api.github.com/repos/request/request/issues/291,1,request/request,291
6809,request/request,228,0,,cross-referenced,2013-06-13 14:06:58,https://api.github.com/repos/request/request/issues/570,0,request/request,570
6808,request/request,234,0,,cross-referenced,2017-07-19 15:35:34,https://api.github.com/repos/request/request/issues/2397,0,request/request,2397
6807,request/request,236,0,,cross-referenced,2013-07-16 04:09:48,https://api.github.com/repos/request/request/issues/593,0,request/request,593
6806,request/request,239,0,,cross-referenced,2012-04-22 21:46:22,https://api.github.com/repos/request/request/issues/241,1,request/request,241
6805,request/request,244,0,,cross-referenced,2012-07-07 02:50:26,https://api.github.com/repos/request/request/issues/282,1,request/request,282
6804,request/request,245,1,,cross-referenced,2013-05-08 22:33:21,https://api.github.com/repos/request/request/issues/282,1,request/request,282
6800,request/request,257,0,,cross-referenced,2014-05-16 00:04:05,https://api.github.com/repos/request/request/issues/897,1,request/request,897
6801,request/request,257,0,,cross-referenced,2014-06-26 07:14:26,https://api.github.com/repos/request/request/issues/946,1,request/request,946
6795,request/request,259,0,,cross-referenced,2013-03-08 16:56:26,https://api.github.com/repos/request/request/issues/467,0,request/request,467
6794,request/request,261,1,,cross-referenced,2012-09-18 23:10:37,https://api.github.com/repos/request/request/issues/259,0,request/request,259
6793,request/request,271,0,,cross-referenced,2013-02-13 20:19:16,https://api.github.com/repos/request/request/issues/230,0,request/request,230
6792,request/request,272,1,,cross-referenced,2014-08-05 18:47:05,https://api.github.com/repos/request/request/issues/991,0,request/request,991
6791,request/request,277,0,,cross-referenced,2012-07-05 08:54:48,https://api.github.com/repos/request/request/issues/279,1,request/request,279
6790,request/request,281,0,,cross-referenced,2016-01-22 00:52:09,https://api.github.com/repos/request/request/issues/2028,1,request/request,2028
6789,request/request,292,0,,cross-referenced,2012-07-27 13:19:53,https://api.github.com/repos/request/request/issues/293,1,request/request,293
6788,request/request,293,1,,cross-referenced,2016-06-10 00:43:10,https://api.github.com/repos/request/request/issues/1903,0,request/request,1903
6787,request/request,297,0,,cross-referenced,2013-10-01 13:02:07,https://api.github.com/repos/request/request/issues/328,0,request/request,328
6784,request/request,303,1,,cross-referenced,2012-08-21 00:10:42,https://api.github.com/repos/request/request/issues/234,0,request/request,234
6786,request/request,303,1,,cross-referenced,2014-07-01 02:07:06,https://api.github.com/repos/request/request/issues/951,1,request/request,951
6782,request/request,304,0,,cross-referenced,2013-10-03 12:46:02,https://api.github.com/repos/request/request/issues/674,1,request/request,674
6783,request/request,304,0,,cross-referenced,2014-09-17 06:28:08,https://api.github.com/repos/request/request/issues/1076,1,request/request,1076
6781,request/request,308,1,,cross-referenced,2012-09-27 12:00:00,https://api.github.com/repos/request/request/issues/302,0,request/request,302
6780,request/request,310,1,,cross-referenced,2013-12-31 11:57:35,https://api.github.com/repos/request/request/issues/752,0,request/request,752
6765,request/request,311,0,,cross-referenced,2012-11-09 13:49:27,https://api.github.com/repos/request/request/issues/368,1,request/request,368
6767,request/request,311,0,,cross-referenced,2014-04-15 03:12:39,https://api.github.com/repos/request/request/issues/865,0,request/request,865
